1,IQ742972143615791000,9/6/2018 23:14,680,BILL PAID,TRANSACTION FAILED
2,BJ314346181768895000,27/9/2018 10:34,191,BILL PAID,NO CREDIT
3,GS558700168659882000,20/4/2021 16:24,463,BILL PAID,NA
4,GL552704419654905000,24/10/2016 18:42,18,BILL PAID,TRANSACTION FAILED
5,HN366222419943180000,27/11/2019 6:10,292,BILL PAID,NA
6,YV342900257537195000,15/12/2021 10:17,127,BILL PAID,WIFI FAILED
7,JE816379216583053000,4/9/2021 16:58,49,BILL PAID,WRONG PASSWORD
8,MW928554093277762000,16/8/2016 8:16,699,BILL PENDING PAYMENT,TRANSACTION FAILED
9,VN369199179268870000,30/12/2017 17:31,293,BILL PENDING PAYMENT,WIFI FAILED
10,AF773688353772767000,29/11/2021 3:03,537,BILL PENDING PAYMENT,TRANSACTION FAILED
11,FF927184930632767000,2/6/2016 14:22,745,BILL PAID,NO CREDIT
12,MV801637021924554000,30/12/2020 10:27,830,BILL PAID,WRONG PASSWORD
13,BU883206204682600000,10/7/2020 15:28,705,BILL PENDING PAYMENT,WRONG PASSWORD
14,SO843001541488054000,5/10/2016 3:14,981,BILL PENDING PAYMENT,NO CREDIT
15,CC920304127933613000,13/11/2020 18:15,291,BILL PENDING PAYMENT,WRONG PASSWORD
16,BC306828247570444000,5/4/2021 21:53,719,BILL PAID,NA
17,FB229859706582555000,21/1/2021 19:20,89,BILL PAID,WIFI FAILED
18,WI542333420292924000,20/9/2016 5:06,776,BILL PENDING PAYMENT,NO CREDIT
19,QW822805477059839000,13/11/2020 13:29,886,BILL PAID,WIFI FAILED
20,PA270650031966493000,7/1/2016 5:33,776,BILL PAID,WIFI FAILED
21,ZG555083541564861000,16/5/2019 9:48,536,BILL PAID,NA
22,TS863629442621031000,27/6/2016 16:00,19,BILL PENDING PAYMENT,NA
23,MD331323026697001000,23/5/2017 19:50,914,BILL PAID,NO CREDIT
24,MA665946092596282000,26/2/2022 12:53,463,BILL PAID,WIFI FAILED
25,CI835389800918319000,27/8/2020 20:12,449,BILL PENDING PAYMENT,NA
26,HN227929155296973000,20/9/2019 21:58,892,BILL PENDING PAYMENT,WRONG PASSWORD
27,UD957975255819495000,6/10/2016 7:01,892,BILL PENDING PAYMENT,TRANSACTION FAILED
28,VE821017120956606000,8/7/2016 23:38,984,BILL PAID,NA
29,KU912128924786477000,31/5/2016 13:42,511,BILL PENDING PAYMENT,NO CREDIT
30,PJ638118129893707000,16/6/2016 4:25,984,BILL PAID,WIFI FAILED
31,CP241676905385014000,27/2/2022 20:43,552,BILL PENDING PAYMENT,WRONG PASSWORD
32,FL603799144443483000,9/5/2020 12:24,561,BILL PENDING PAYMENT,WIFI FAILED
33,CP748215842759492000,20/9/2021 15:40,689,BILL PENDING PAYMENT,WIFI FAILED
34,FZ805209463511598000,17/8/2020 0:29,162,BILL PENDING PAYMENT,WRONG PASSWORD
35,SK455955444276622000,20/4/2022 17:59,618,BILL PAID,WRONG PASSWORD
36,DL124587322741201000,11/1/2022 13:15,103,BILL PENDING PAYMENT,NO CREDIT
37,TQ356064596117502000,23/9/2018 18:00,15,BILL PENDING PAYMENT,WRONG PASSWORD
38,ZM883534313146759000,24/3/2016 10:02,944,BILL PAID,WRONG PASSWORD
39,ST841470480841123000,16/12/2016 17:29,983,BILL PAID,TRANSACTION FAILED
40,TA541858960603124000,2/4/2018 7:11,224,BILL PAID,NA
41,QD796928899326898000,10/5/2016 21:01,917,BILL PAID,NA
42,CL870091126086389000,5/1/2017 2:23,453,BILL PAID,WRONG PASSWORD
43,FC616053609787465000,29/8/2017 0:37,510,BILL PAID,NA
44,BM768126994477227000,27/2/2020 14:18,535,BILL PAID,WIFI FAILED
45,GU290094701080720000,4/6/2016 22:46,161,BILL PENDING PAYMENT,NA
46,ZP767686547139716000,8/10/2017 15:10,489,BILL PENDING PAYMENT,WIFI FAILED
47,TG418240633092988000,2/4/2016 7:54,240,BILL PENDING PAYMENT,NO CREDIT
48,GU521268292025058000,17/2/2019 8:38,231,BILL PENDING PAYMENT,WRONG PASSWORD
49,RV269611386252979000,23/4/2016 12:51,796,BILL PAID,WIFI FAILED
50,BM414527901394331000,12/1/2017 15:15,986,BILL PAID,WRONG PASSWORD
51,WY664873547393907000,11/2/2021 6:47,368,BILL PENDING PAYMENT,WIFI FAILED
52,WK233115446805942000,23/7/2018 21:48,668,BILL PAID,WIFI FAILED
53,EQ207763328328932000,27/4/2022 16:53,813,BILL PENDING PAYMENT,WRONG PASSWORD
54,TC687980064671714000,6/11/2018 0:20,876,BILL PAID,WIFI FAILED
55,PE373991929315965000,25/11/2018 12:59,804,BILL PENDING PAYMENT,WIFI FAILED
56,VM119760770458939000,8/3/2020 14:19,680,BILL PAID,NA
57,YR468932371385938000,16/9/2020 3:58,274,BILL PENDING PAYMENT,NA
58,II749161471651171000,27/11/2020 10:15,10,BILL PAID,WRONG PASSWORD
